dataset	key	stage	reason	recorded
crossdock	7PJQ_OWH__into__6T02	04_prepare/crossdock_align	C-alpha RMSD 20.984 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7POM_7VZ__into__6G9U	04_prepare/crossdock_align	C-alpha RMSD 34.471 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7PUV_84Z__into__9F2O	04_prepare/crossdock_align	C-alpha RMSD 28.667 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7QGP_DJ8__into__6EIM	04_prepare/crossdock_align	C-alpha RMSD 6.71 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7QHL_D5P__into__2R3I	04_prepare/crossdock_align	C-alpha RMSD 4.503 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7R3D_APR__into__5BR4	04_prepare/crossdock_align	C-alpha RMSD 27.455 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7R9N_F97__into__31WB	04_prepare/crossdock_align	C-alpha RMSD 6.695 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7SIU_9ID__into__31WB	04_prepare/crossdock_align	C-alpha RMSD 5.196 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7SZA_DUI__into__7SZC	04_prepare/crossdock_align	C-alpha RMSD 29.954 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7TBU_S3P__into__6C5C	04_prepare/crossdock_align	C-alpha RMSD 22.175 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7U0U_FK5__into__6VCV	04_prepare/crossdock_align	C-alpha RMSD 17.638 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7UAS_MBU__into__6E1Z	04_prepare/crossdock_align	C-alpha RMSD 19.827 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7UJF_R3V__into__5DXE	04_prepare/crossdock_align	C-alpha RMSD 4.252 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7V3S_5I9__into__9T6K	04_prepare/crossdock_align	"superposition raised: ValueError(""invalid literal for int() with base 10: 'A14'"")"	2026-09-22
crossdock	7WDT_NGS__into__6Z14	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('JJJ') exceeds PDB format limit."")"	2026-09-22
crossdock	7WY1_D0L__into__2IJ2	04_prepare/crossdock_align	C-alpha RMSD 31.428 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7XRL_FWK__into__5YRV	04_prepare/crossdock_align	C-alpha RMSD 44.691 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7ZL5_IWE__into__7Q0D	04_prepare/crossdock_align	C-alpha RMSD 21.089 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7ZOC_T8E__into__4U6T	04_prepare/crossdock_align	C-alpha RMSD 20.945 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7ZZW_KKW__into__7KBG	04_prepare/crossdock_align	C-alpha RMSD 29.13 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	8AP0_PRP__into__8AOZ	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAA') exceeds PDB format limit."")"	2026-09-22
crossdock	8DP2_UMA__into__7U35	04_prepare/crossdock_align	C-alpha RMSD 4.092 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	8EX2_Q2Q__into__8BXH	04_prepare/crossdock_align	C-alpha RMSD 6.314 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	8F4J_PHO__into__1MZ4	04_prepare/crossdock_align	C-alpha RMSD 23.269 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	8F8E_XJI__into__9PLY	04_prepare/crossdock_align	C-alpha RMSD 11.271 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	8G0V_YHT__into__7KNO	04_prepare/crossdock_align	C-alpha RMSD 4.934 A after superposition exceeds the 3.0 A limit	2026-09-22
