dataset	complex_id	conformer	status	reason	smiles	heavy_atoms	rotatable_bonds	seed	embed_attempts	conformer_rmsd_to_crystal	pdbqt_bytes	elapsed_s	recorded
posebusters	7D5C_GV6	genconf	ok		CC[C@H](C)[C@H](N)C(=O)O[P@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	31	8	20260922	1	2.114	3903	0.23	2026-09-22T15:00:40+08:00
posebusters	7F51_BA7	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](OC(=O)c3ccccc3)[C@@H]2O)[C@@H](O)[C@H]1O	44	11				5341	0.01	2026-09-22T15:00:40+08:00
posebusters	7F5D_EUO	refconf	ok		CNc1cc(-c2ccc3[nH]ccc3c2)nc(S(C)(=O)=O)n1	21	3				2189	0.01	2026-09-22T15:00:40+08:00
posebusters	7ED2_A3P	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	27	6	20260922	1	1.949	3474	0.11	2026-09-22T15:00:40+08:00
posebusters	7ES1_UDP	genconf	ok		O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	25	6	20260922	1	1.313	3193	0.08	2026-09-22T15:00:40+08:00
posebusters	7F8T_FAD	refconf	ok		Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	53	13				6391	0.01	2026-09-22T15:00:40+08:00
posebusters	7F5D_EUO	genconf	ok		CNc1cc(-c2ccc3[nH]ccc3c2)nc(S(C)(=O)=O)n1	21	3	20260922	1	1.69	2189	0.06	2026-09-22T15:00:40+08:00
posebusters	7FB7_8NF	refconf	ok		Cc1cc(C)c(N)cn1	9	0				1046	0.01	2026-09-22T15:00:40+08:00
posebusters	7FHA_ADX	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O	27	6				3360	0.01	2026-09-22T15:00:40+08:00
posebusters	7FB7_8NF	genconf	ok		Cc1cc(C)c(N)cn1	9	0	20260922	1	0.054	1046	0.02	2026-09-22T15:00:40+08:00
posebusters	7FRX_O88	refconf	ok		O=S(=O)(NCc1ccc(S(=O)(=O)c2ccc(O)c(O)c2)cc1)c1ccc(O)c(O)c1	30	6				3488	0.01	2026-09-22T15:00:40+08:00
posebusters	7FHA_ADX	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O	27	6	20260922	1	2.341	3360	0.12	2026-09-22T15:00:40+08:00
posebusters	7FT9_4MB	refconf	ok		CS(=O)(=O)Nc1ccc(C(=O)O)cc1	14	3				1606	0.01	2026-09-22T15:00:40+08:00
posebusters	7FT9_4MB	genconf	ok		CS(=O)(=O)Nc1ccc(C(=O)O)cc1	14	3	20260922	1	1.011	1606	0.03	2026-09-22T15:00:40+08:00
posebusters	7FRX_O88	genconf	ok		O=S(=O)(NCc1ccc(S(=O)(=O)c2ccc(O)c(O)c2)cc1)c1ccc(O)c(O)c1	30	6	20260922	1	1.482	3488	0.15	2026-09-22T15:00:40+08:00
posebusters	7JG0_GAR	refconf	ok		NCC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	18	5				2367	0.01	2026-09-22T15:00:40+08:00
posebusters	7JHQ_VAJ	refconf	ok		O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1	18	3				1989	0.01	2026-09-22T15:00:40+08:00
posebusters	7JHQ_VAJ	genconf	ok		O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1	18	3	20260922	1	0.392	1989	0.03	2026-09-22T15:00:40+08:00
posebusters	7JG0_GAR	genconf	ok		NCC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	18	5	20260922	1	2.122	2367	0.05	2026-09-22T15:00:40+08:00
posebusters	7JMV_4NC	refconf	ok		O=[N+]([O-])c1ccc(O)c(O)c1	11	1				1296	0.0	2026-09-22T15:00:40+08:00
posebusters	7JXX_VP7	refconf	ok		CC(C)(O)C#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3	25	0				3057	0.01	2026-09-22T15:00:40+08:00
posebusters	7JMV_4NC	genconf	ok		O=[N+]([O-])c1ccc(O)c(O)c1	11	1	20260922	1	0.132	1296	0.02	2026-09-22T15:00:40+08:00
posebusters	7JY3_VUD	refconf	ok		C[C@H](Oc1cc2cc(F)ccc2nc1N)c1[nH]c(=O)ccc1-n1cccn1	27	4				2885	0.01	2026-09-22T15:00:40+08:00
posebusters	7ELT_TYM	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O	37	8	20260922	1	3.858	4530	0.4	2026-09-22T15:00:40+08:00
posebusters	7K0V_VQP	refconf	ok		Cc1cc(F)c(NC(=O)NCCC(C)(C)C)cc1Nc1ccc2ncn(C)c(=O)c2c1F	32	5				3351	0.01	2026-09-22T15:00:40+08:00
posebusters	7F51_BA7	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](OC(=O)c3ccccc3)[C@@H]2O)[C@@H](O)[C@H]1O	44	11	20260922	1	2.681	5341	0.43	2026-09-22T15:00:40+08:00
posebusters	7KB1_WBJ	refconf	ok		C=C/C(=N\Cc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O	22	7				2714	0.01	2026-09-22T15:00:40+08:00
posebusters	7JXX_VP7	genconf	ok		CC(C)(O)C#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3	25	0	20260922	1	0.811	3057	0.13	2026-09-22T15:00:40+08:00
posebusters	7JY3_VUD	genconf	ok		C[C@H](Oc1cc2cc(F)ccc2nc1N)c1[nH]c(=O)ccc1-n1cccn1	27	4	20260922	1	2.597	2885	0.12	2026-09-22T15:00:40+08:00
posebusters	7KC5_BJZ	refconf	ok		CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1	37	4				3619	0.01	2026-09-22T15:00:40+08:00
posebusters	7KM8_WPD	refconf	ok		CCc1nc(N)nc(N)c1OCCCOc1cccc(C[C@@H](C(=O)O)C(F)F)c1	29	11				3524	0.01	2026-09-22T15:00:40+08:00
posebusters	7KB1_WBJ	genconf	ok		C=C/C(=N\Cc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O	22	7	20260922	1	0.826	2714	0.05	2026-09-22T15:00:40+08:00
posebusters	7KQU_YOF	refconf	ok		N[C@@H](Cc1ccc(O)c(F)c1)C(=O)O	14	3				1845	0.01	2026-09-22T15:00:40+08:00
posebusters	7KQU_YOF	genconf	ok		N[C@@H](Cc1ccc(O)c(F)c1)C(=O)O	14	3	20260922	1	1.342	1845	0.03	2026-09-22T15:00:40+08:00
posebusters	7KRU_ATP	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	31	8				4019	0.01	2026-09-22T15:00:40+08:00
posebusters	7KM8_WPD	genconf	ok		CCc1nc(N)nc(N)c1OCCCOc1cccc(C[C@@H](C(=O)O)C(F)F)c1	29	11	20260922	1	3.012	3524	0.15	2026-09-22T15:00:40+08:00
posebusters	7K0V_VQP	genconf	ok		Cc1cc(F)c(NC(=O)NCCC(C)(C)C)cc1Nc1ccc2ncn(C)c(=O)c2c1F	32	5	20260922	1	2.469	3351	0.25	2026-09-22T15:00:40+08:00
posebusters	7KZ9_XN7	refconf	ok		O=C(CNCCO)NCCO	11	6				1619	0.01	2026-09-22T15:00:41+08:00
posebusters	7L00_XCJ	refconf	ok		CS(=O)(=O)c1ccc2nc(NC(=O)Cc3csc(-n4cccc4)n3)sc2c1	27	5				2712	0.01	2026-09-22T15:00:41+08:00
posebusters	7KZ9_XN7	genconf	ok		O=C(CNCCO)NCCO	11	6	20260922	1	1.485	1619	0.03	2026-09-22T15:00:41+08:00
posebusters	7L03_F9F	refconf	ok		O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1	22	7				2591	0.01	2026-09-22T15:00:41+08:00
posebusters	7KRU_ATP	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	31	8	20260922	1	2.815	4019	0.17	2026-09-22T15:00:40+08:00
posebusters	7L5F_XNG	refconf	ok		CCCCCCCCCC(=O)NCCCC(=O)O	18	12				2246	0.01	2026-09-22T15:00:41+08:00
posebusters	7KC5_BJZ	genconf	ok		CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1	37	4	20260922	1	0.999	3619	0.28	2026-09-22T15:00:40+08:00
posebusters	7L03_F9F	genconf	ok		O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1	22	7	20260922	1	1.062	2591	0.07	2026-09-22T15:00:41+08:00
posebusters	7L7C_XQ1	refconf	ok		COc1cccc(-c2ccc3c(CC(=O)O)coc3c2)c1	21	4				2164	0.01	2026-09-22T15:00:41+08:00
posebusters	7LCU_XTA	refconf	ok		CN1CCN(c2ncc(Oc3cc(CN4CCC(CC(=O)O)CC4)cc(-c4cc(Cl)cc(Cl)c4)n3)cn2)CC1	39	8				3914	0.01	2026-09-22T15:00:41+08:00
posebusters	7L00_XCJ	genconf	ok		CS(=O)(=O)c1ccc2nc(NC(=O)Cc3csc(-n4cccc4)n3)sc2c1	27	5	20260922	1	1.868	2712	0.12	2026-09-22T15:00:41+08:00
posebusters	7LEV_0JO	refconf	ok		C=C(/N=C/c1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O	21	6				2594	0.01	2026-09-22T15:00:41+08:00
posebusters	7F8T_FAD	genconf	ok		Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	53	13	20260922	1	4.571	6373	0.72	2026-09-22T15:00:40+08:00
posebusters	7L7C_XQ1	genconf	ok		COc1cccc(-c2ccc3c(CC(=O)O)coc3c2)c1	21	4	20260922	1	1.623	2164	0.05	2026-09-22T15:00:41+08:00
posebusters	7L5F_XNG	genconf	ok		CCCCCCCCCC(=O)NCCCC(=O)O	18	12	20260922	1	1.768	2246	0.08	2026-09-22T15:00:41+08:00
posebusters	7LJN_GTP	refconf	ok		Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	32	8				4199	0.02	2026-09-22T15:00:41+08:00
posebusters	7EPV_FDA	genconf	ok		Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2	53	13	20260922	1	3.244	6585	0.84	2026-09-22T15:00:40+08:00
posebusters	7LMO_NYO	refconf	ok		CCN(CC)c1ccc2c(C)c(CCN3C(=O)N[C@@]4(CCN(C(=O)c5c[nH]cn5)C4)C3=O)c(=O)oc2c1	37	7				3800	0.01	2026-09-22T15:00:41+08:00
posebusters	7LOE_Y84	refconf	ok		Fc1cccc2ccccc12	11	0				1015	0.0	2026-09-22T15:00:41+08:00
posebusters	7LOU_IFM	refconf	ok		OC[C@H]1CNC[C@@H](O)[C@@H]1O	10	1				1415	0.01	2026-09-22T15:00:41+08:00
posebusters	7LEV_0JO	genconf	ok		C=C(/N=C/c1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O	21	6	20260922	1	1.438	2594	0.06	2026-09-22T15:00:41+08:00
posebusters	7LOE_Y84	genconf	ok		Fc1cccc2ccccc12	11	0	20260922	1	0.021	1015	0.02	2026-09-22T15:00:41+08:00
posebusters	7LT0_ONJ	refconf	ok		Cc1ccc(Sc2cc(C(=O)N3Cc4ccccc4C3)ccc2O)cc1C	27	3				2672	0.01	2026-09-22T15:00:41+08:00
posebusters	7LZD_YHY	refconf	ok		Cc1ccc(F)c2cc(C(=O)Nc3cccc(N4CCC(N(C)C)CC4)c3)[nH]c12	29	4				2941	0.01	2026-09-22T15:00:41+08:00
posebusters	7LOU_IFM	genconf	ok		OC[C@H]1CNC[C@@H](O)[C@@H]1O	10	1	20260922	1	0.587	1415	0.03	2026-09-22T15:00:41+08:00
posebusters	7M31_TDR	refconf	ok		Cc1c[nH]c(=O)[nH]c1=O	9	0				1019	0.01	2026-09-22T15:00:41+08:00
posebusters	7M31_TDR	genconf	ok		Cc1c[nH]c(=O)[nH]c1=O	9	0	20260922	1	0.064	1019	0.02	2026-09-22T15:00:41+08:00
posebusters	7M3H_YPV	refconf	ok		CCCCc1ccc(NS(=O)(=O)c2ccc(O)c(C(=O)O)c2)cc1	24	7				2751	0.01	2026-09-22T15:00:41+08:00
posebusters	7LT0_ONJ	genconf	ok		Cc1ccc(Sc2cc(C(=O)N3Cc4ccccc4C3)ccc2O)cc1C	27	3	20260922	1	2.597	2672	0.14	2026-09-22T15:00:41+08:00
posebusters	7LJN_GTP	genconf	ok		Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	32	8	20260922	1	1.793	4166	0.2	2026-09-22T15:00:41+08:00
posebusters	7M6K_YRJ	refconf	ok		O=C(NCc1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1)Nc1ccc([N+](=O)[O-])cc1	33	8				3943	0.02	2026-09-22T15:00:41+08:00
posebusters	7M3H_YPV	genconf	ok		CCCCc1ccc(NS(=O)(=O)c2ccc(O)c(C(=O)O)c2)cc1	24	7	20260922	1	1.156	2751	0.13	2026-09-22T15:00:41+08:00
posebusters	7MFP_Z7P	refconf	ok		Cc1ncc(COP(=O)(O)O)c(/C=N/[C@H]2[C@H](O)[C@@H](O)[C@@H](O[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O[C@@H]2C)c1O	50	13				6157	0.02	2026-09-22T15:00:41+08:00
posebusters	7MGT_ZD4	refconf	ok		Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	28	6				3567	0.01	2026-09-22T15:00:41+08:00
posebusters	7LZD_YHY	genconf	ok		Cc1ccc(F)c2cc(C(=O)Nc3cccc(N4CCC(N(C)C)CC4)c3)[nH]c12	29	4	20260922	1	1.962	2941	0.24	2026-09-22T15:00:41+08:00
posebusters	7MGY_ZD1	refconf	ok		N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	23	4				3296	0.02	2026-09-22T15:00:41+08:00
posebusters	7MGT_ZD4	genconf	ok		Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	28	6	20260922	1	2.331	3567	0.17	2026-09-22T15:00:41+08:00
posebusters	7MMH_ZJY	refconf	ok		COc1ccc2nc(C)c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OCC5(C(F)(F)F)CC5)C(=O)N4C3)nc2c1	57	9				6323	0.03	2026-09-22T15:00:41+08:00
posebusters	7LMO_NYO	genconf	ok		CCN(CC)c1ccc2c(C)c(CCN3C(=O)N[C@@]4(CCN(C(=O)c5c[nH]cn5)C4)C3=O)c(=O)oc2c1	37	7	20260922	1	2.394	3800	0.44	2026-09-22T15:00:41+08:00
posebusters	7MOI_HPS	refconf	ok		O=P(O)(O)Oc1ccccc1	11	2				1320	0.0	2026-09-22T15:00:41+08:00
posebusters	7MGY_ZD1	genconf	ok		N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	23	4	20260922	1	1.266	3296	0.14	2026-09-22T15:00:41+08:00
posebusters	7MOI_HPS	genconf	ok		O=P(O)(O)Oc1ccccc1	11	2	20260922	1	0.516	1320	0.02	2026-09-22T15:00:41+08:00
posebusters	7MSR_DCA	refconf	ok		CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	47	17				5935	0.01	2026-09-22T15:00:41+08:00
posebusters	7LCU_XTA	genconf	ok		CN1CCN(c2ncc(Oc3cc(CN4CCC(CC(=O)O)CC4)cc(-c4cc(Cl)cc(Cl)c4)n3)cn2)CC1	39	8	20260922	1	1.692	3914	0.52	2026-09-22T15:00:41+08:00
posebusters	7M6K_YRJ	genconf	ok		O=C(NCc1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1)Nc1ccc([N+](=O)[O-])cc1	33	8	20260922	1	1.353	3925	0.28	2026-09-22T15:00:41+08:00
posebusters	7MWN_WI5	refconf	ok		Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3	32	4				3029	0.01	2026-09-22T15:00:41+08:00
posebusters	7MWU_ZPM	refconf	ok		O=C(O)C1CCC1	7	1				822	0.01	2026-09-22T15:00:41+08:00
posebusters	7MY1_IPE	refconf	ok		C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O	14	6				1861	0.01	2026-09-22T15:00:41+08:00
posebusters	7MWU_ZPM	genconf	ok		O=C(O)C1CCC1	7	1	20260922	1	0.18	822	0.02	2026-09-22T15:00:41+08:00
posebusters	7MYU_ZR7	refconf	ok		COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1	35	5				3608	0.01	2026-09-22T15:00:41+08:00
posebusters	7MY1_IPE	genconf	ok		C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O	14	6	20260922	1	1.266	1861	0.03	2026-09-22T15:00:41+08:00
posebusters	7N03_ZRP	refconf	ok		CCCCCCNc1ccc2ncc(C(=O)NC)c(Nc3ccccc3)c2c1	28	9				3093	0.01	2026-09-22T15:00:41+08:00
posebusters	7N03_ZRP	genconf	ok		CCCCCCNc1ccc2ncc(C(=O)NC)c(Nc3ccccc3)c2c1	28	9	20260922	1	2.217	3093	0.15	2026-09-22T15:00:41+08:00
posebusters	7N4N_0BK	refconf	ok		COc1cc(C(=O)Nc2ccc(F)c([C@]3(CF)CC[C@@](C)(S(C)(=O)=O)C(N)=N3)c2)ncn1	32	6				3366	0.01	2026-09-22T15:00:41+08:00
posebusters	7MWN_WI5	genconf	ok		Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3	32	4	20260922	1	2.441	3029	0.21	2026-09-22T15:00:41+08:00
posebusters	7N4W_P4V	refconf	ok		COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2	26	4				2502	0.01	2026-09-22T15:00:41+08:00
posebusters	7MYU_ZR7	genconf	ok		COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1	35	5	20260922	1	0.756	3608	0.22	2026-09-22T15:00:41+08:00
posebusters	7N6F_0I1	refconf	ok		O=C(C1CCN(c2cncnc2-c2ccc(F)cc2)CC1)N1CC(F)C1	26	3				2469	0.01	2026-09-22T15:00:41+08:00
posebusters	7N6F_0I1	genconf	ok		O=C(C1CCN(c2cncnc2-c2ccc(F)cc2)CC1)N1CC(F)C1	26	3	20260922	1	1.916	2469	0.09	2026-09-22T15:00:41+08:00
posebusters	7N7B_T3F	refconf	ok		Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N)[C@H]3O)O2)c(=O)[nH]c1=O	35	8				4378	0.01	2026-09-22T15:00:42+08:00
posebusters	7N4N_0BK	genconf	ok		COc1cc(C(=O)Nc2ccc(F)c([C@]3(CF)CC[C@@](C)(S(C)(=O)=O)C(N)=N3)c2)ncn1	32	6	20260922	1	2.438	3366	0.18	2026-09-22T15:00:41+08:00
posebusters	7N4W_P4V	genconf	ok		COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2	26	4	20260922	1	1.78	2502	0.17	2026-09-22T15:00:41+08:00
posebusters	7N7H_CTP	refconf	ok		Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	29	8				3848	0.01	2026-09-22T15:00:42+08:00
posebusters	7NF0_BYN	refconf	ok		Cc1cc2c3c(c1C)C(C)(C)C[C@@H](O)N3c1c(nc(O)[nH]c1=O)N2C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	37	7				4530	0.01	2026-09-22T15:00:42+08:00
posebusters	7MFP_Z7P	genconf	ok		Cc1ncc(COP(=O)(O)O)c(/C=N/[C@H]2[C@H](O)[C@@H](O)[C@@H](O[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O[C@@H]2C)c1O	50	13	20260922	1	3.838	6157	0.7	2026-09-22T15:00:41+08:00
posebusters	7NF3_4LU	refconf	ok		Cc1cc2c3c(c1C)C(C)(C)CC=[N+]3c1c([nH]c(=O)[nH]c1=O)N2C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	36	7				4292	0.01	2026-09-22T15:00:42+08:00
posebusters	7N7H_CTP	genconf	ok		Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	29	8	20260922	1	2.041	3815	0.12	2026-09-22T15:00:42+08:00
posebusters	7NFB_GEN	refconf	ok		O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	20	1				2217	0.01	2026-09-22T15:00:42+08:00
posebusters	7NFB_GEN	genconf	ok		O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	20	1	20260922	1	0.224	2217	0.05	2026-09-22T15:00:42+08:00
posebusters	7NGW_UAW	refconf	ok		CC1CCN(C(=O)Nc2ccc(O)cc2)CC1	17	1				1799	0.01	2026-09-22T15:00:42+08:00
posebusters	7NGW_UAW	genconf	ok		CC1CCN(C(=O)Nc2ccc(O)cc2)CC1	17	1	20260922	1	0.631	1799	0.06	2026-09-22T15:00:42+08:00
posebusters	7NLV_UJE	refconf	ok		O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)N[C@H]1CCNC1	21	6				2472	0.01	2026-09-22T15:00:42+08:00
posebusters	7MSR_DCA	genconf	ok		CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	47	17	20260922	1	2.936	5935	0.66	2026-09-22T15:00:41+08:00
posebusters	7NP6_UK8	refconf	ok		O=C(O)c1ccc(OCc2c(-c3c(Cl)cccc3C(F)(F)F)noc2-c2cn[nH]c2)cc1	32	6				3336	0.01	2026-09-22T15:00:42+08:00
posebusters	7N7B_T3F	genconf	ok		Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N)[C@H]3O)O2)c(=O)[nH]c1=O	35	8	20260922	1	2.089	4378	0.37	2026-09-22T15:00:42+08:00
posebusters	7NPL_UKZ	refconf	ok		CCC[C@@H](NC(=O)c1cccc2c1CC(=O)N2)[C@@H](O)c1cccc(Cl)c1C	27	6				2956	0.01	2026-09-22T15:00:42+08:00
posebusters	7NLV_UJE	genconf	ok		O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)N[C@H]1CCNC1	21	6	20260922	1	1.347	2472	0.11	2026-09-22T15:00:42+08:00
posebusters	7NR8_UOE	refconf	ok		C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O	45	9				4666	0.02	2026-09-22T15:00:42+08:00
posebusters	7NP6_UK8	genconf	ok		O=C(O)c1ccc(OCc2c(-c3c(Cl)cccc3C(F)(F)F)noc2-c2cn[nH]c2)cc1	32	6	20260922	1	2.319	3336	0.12	2026-09-22T15:00:42+08:00
posebusters	7NSW_HC4	refconf	ok		O=C(O)/C=C/c1ccc(O)cc1	12	2				1411	0.01	2026-09-22T15:00:42+08:00
posebusters	7NF3_4LU	genconf	ok		Cc1cc2c3c(c1C)C(C)(C)CC=[N+]3c1c([nH]c(=O)[nH]c1=O)N2C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	36	7	20260922	1	1.355	4292	0.36	2026-09-22T15:00:42+08:00
posebusters	7NU0_DCL	refconf	ok		CC(C)C[C@H](N)CO	8	3				1179	0.01	2026-09-22T15:00:42+08:00
posebusters	7NSW_HC4	genconf	ok		O=C(O)/C=C/c1ccc(O)cc1	12	2	20260922	1	0.214	1411	0.03	2026-09-22T15:00:42+08:00
posebusters	7NUT_GLP	refconf	ok		N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@@H]1O	16	3				2396	0.01	2026-09-22T15:00:42+08:00
posebusters	7NU0_DCL	genconf	ok		CC(C)C[C@H](N)CO	8	3	20260922	1	0.835	1179	0.03	2026-09-22T15:00:42+08:00
posebusters	7NXO_UU8	refconf	ok		Cc1ccccc1Oc1cc(-n2c(=O)cc(S(=O)(=O)c3ccccc3)[nH]c2=O)c(F)cc1C#N	34	5				3346	0.01	2026-09-22T15:00:42+08:00
posebusters	7NF0_BYN	genconf	ok		Cc1cc2c3c(c1C)C(C)(C)C[C@@H](O)N3c1c(nc(O)[nH]c1=O)N2C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	37	7	20260922	1	1.616	4530	0.45	2026-09-22T15:00:42+08:00
posebusters	7O0N_CDP	refconf	ok		Nc1ccn([C@@H]2O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	25	6				3307	0.01	2026-09-22T15:00:42+08:00
posebusters	7NUT_GLP	genconf	ok		N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@@H]1O	16	3	20260922	1	0.979	2396	0.06	2026-09-22T15:00:42+08:00
